Name,Account,Political group,Nationality
JAAKONSAARI Liisa,@Jaakonsaari,S&D,Finland
JÄÄTTEENMÄKI Anneli,@jaatteenmaki,ALDE,Finland
JADOT Yannick,@yjadot,Greens,France
JAHR Peter,@peter_jahr,EPP,Germany
JAKOVČIĆ Ivan,@IvanJakovcic,ALDE,Croatia
JALKH Jean François,@JFJalkh,ENF,France
JAMES Diane,@DianeJamesMEP,EFDD,UK
JÁUREGUI ATONDO Ramón,@RJaureguiA,S&D,Spain
JÁVOR Benedek,@javorbenedek,Greens,Hungary
JAZŁOWIECKA Danuta,@DJazlowiecka,EPP,Netherlands
JEŽEK Petr,@JezekCZ,ALDE,Poland
JIMÉNEZ-BECERRIL BARRIO Teresa,@TeresaJBecerril,EPP,Czech Republic
JOLY Eva,@EvaJoly,Greens,Spain
JONG Dennis Cornelius de,@DdJong,GUE/NGL,France
JONGERIUS Agnes,@a_jongerius,S&D,Netherlands
JOULAUD Marc,@MarcJoulaud,EPP,Netherlands
JUARISTI ABAUNZ Josu,@Josu_Juaristi,GUE/NGL,France
JUREK Marek,@marekjurek,ECR,Poland
JUVIN Philippe,@philippejuvin,EPP,France
KADENBACH Karin,@karinkadenbach,S&D,Austria
KAILI Eva,@EvaKaili,S&D,Greece
KALINOWSKI Jarosław,,EPP,Po
KALLAS Kaja,@kajakallas,ALDE,Estonia
KALNIETE Sandra,@Kalniete,EPP,Latvia
KAMALL Syed,@SyedKamall,ECR,UK
KAMMEREVERT Petra,,S&D,Germany
KAPPEL Barbara,,ENF,Austria
KARAS Othmar,@othmar_karas,EPP,Austria
KARI Rina Ronja,@rinakari,GUE/NGL,Denmark
KARIM Sajjad,@SHKMEP,ECR,UK
KARIŅŠ Krišjānis,@krisjaniskarins,EPP,Latvia
KARLSSON Rikke,,ECR,Denmark
KARSKI Karol Adam,@profKarski,ECR,Poland
KAUFMANN Sylvia Yvonne,@KaufmannSylvia,S&D,Germany
KEFALOGIANNIS Manolis,@M_Kefalogiannis,EPP,Greece
KELAM Tunne,,EPP,Estonia
KELLER Jan,@KellerHonza,S&D,Czech Republic
KELLER Ska,@SkaKeller,Greens,Germany
KELLY Seán,@SeanKellyMEP,EPP,Ireland
KHAN Afzal,@akhanmep,S&D,UK
KIRKHOPE Timothy,@TimKirkhopeMEP,ECR,UK
KIRTON DARLING Jude,@Jude_KD,S&D,UK
KLOSOWSKI Slawomir,,ECR,Poland
KOCH Dieter Lebrecht,,EPP,Germany
KOFOD Jeppe,@JeppeKofod,S&D,Denmark
KOHLICEK Jaromir,@KohlicekJaromir,GUE/NGL,Czech Republic
KÖLMEL Bernd,@Bernd_Koelmel,ECR,Germany
KONEČNÁ Kateřina,@Konecna_K,GUE/NGL,Czech Republic
KORWIN MIKKE Janusz Ryszard,@korwinmikke,NI (Kongres Nowej Prawicy),Poland
KÓSA Ádám,@adamkosamep,EPP,Hungary
KÖSTER Dietmar,,S&D,Germany
KÖSTINGER Elisabeth,@ElliKoestinger,EPP,Austria
KOULOGLOU Stelios,@SteliosKoul,GUE/NGL,Greece
KOVÁCS Béla,,NI (Jobbik Magyarorszagert Mozgalom),Hungary
KOVATCHEV Andrey,@andreykovatchev,EPP,Bulgaria
KOZŁOWSKA RAJEWICZ Agnieszka,@AKRajewicz,EPP,Poland
KRASNODĘBSKI Zdzisław,@ZdzKrasnodebski,ECR,Poland
KREHL Constanze,@ConstanzeKrehl,S&D,Germany
KRUPA Urszula,,ECR,Poland
KUDRYCKA Barbara,@BarbaraKudrycka,EPP,Poland
KUHN Werner,@WernerKuhnMdEP,EPP,Germany
KUKAN Eduard,@EduardKukan,EPP,Slovakia
KUMPULA NATRI Miapetra,@miapetrakumpula,S&D,Finland
KUNEVA Kostadinka,@kkuneva,GUE/NGL,Greece
KUŹMIUK Zbigniew Krzysztof,@ZbigniewKuzmiuk,ECR,Poland
KYENGE Kashetu,@ckyenge,S&D,Italy
KYLLÖNEN Merja,@KyllonenMerja,GUE/NGL,Finland
KYRKOS Miltiadis,,S&D,Greece
KYRTSOS Georgios,@GiorgosKyrtsos,EPP,Greece
KYUCHYUK Ilhan,@ilhankyuchyuk,ALDE,Bulgaria
LA VIA Giovanni,@giovannilavia,EPP,Italy
LAMASSOURE Alain,@ALamassoure,EPP,France
LAMBERT Jean,@GreenJeanMEP,Greens,UK
LAMBERTS Philippe,@ph_lamberts,Greens,Belgium
LAMBSDORFF Alexander Graf,@Lambsdorff,ALDE,Germany
LANGE Bernd,@berndlange,S&D,Germany
LANGE Esther de,@Esther_de_Lange,EPP,Netherlands
LANGEN Werner,@langen_werner,EPP,Germany
LAURISTIN Marju,@LauristinMarju,S&D,Estonia
LAVRILLEUX Jérôme,@jlavrilleux,EPP,France
LE GRIP Constance,@clegrip,EPP,France
LE HYARIC Patrick,@PatrickLeHyaric,GUE/NGL,France
LE PEN Jean Marie,@lepenjm,NI (Front National),France
LE PEN Marine,@MLP_officiel,ENF,France
LEBRETON Gilles,@Gilles_Lebreton,ENF,France
LEGUTKO Ryszard Antoni,,ECR,Poland
LEINEN Jo,@jo_leinen,S&D,Germany
LENAERS Jeroen,@jeroen_lenaers,EPP,Netherlands
LEWANDOWSKI Janusz,@J_Lewandowski,EPP,Poland
LEWER Andrew,@ALewerMEP,ECR,UK
LIBERADZKI Bogusław,@BLiberadzki,S&D,Poland
LIESE Peter,@peterliese,EPP,Germany
LIETZ Arne,@ArneLietz,S&D,Germany
LINS Norbert,,EPP,Germany
LOCHBIHLER Barbara,@blochbihler,Greens,Germany
LOISEAU Philippe,@ph_loiseau,ENF,France
LOKKEGAARD Morten,@Loekkegaard_MEP,ALDE,Denmark
LOONES Sander,@SanderLoones,ECR,Belgium
LOPE FONTAGNÉ Verónica,,EPP,Spain
LÓPEZ AGUILAR Juan Fernando,@JFLopezAguilar,S&D,Spain
LÓPEZ BERMEJO Paloma,@palomalopezB,GUE/NGL,Spain
LÓPEZ Javier,@fjavilopez,S&D,Spain
LÓPEZ-ISTÚRIZ WHITE Antonio,@TonoEPP,EPP,Spain
LOSING Sabine,,GUE/NGL,Germany
LUCKE Bernd,@BerndLucke,ECR,Germany
LUDVIGSSON Olle,@olleludvigsson,S&D,Sweden
ŁUKACIJEWSKA Elżbieta Katarzyna,,EPP,Poland
LUNACEK Ulrike,@UlrikeLunacek,Greens,Austria
LUNDGREN Peter,,EFDD,Sweden
LYBACKA Krystyna Maria,@KrystynaLybacka,S&D,Poland
MACH Petr,@PetrMachMEP,EFDD,Czech Republic
MACOVEI Monica Luisa,@MonicaMacovei1,ECR,Romania
MAEIJER Vicky,@VickyMaeijer,ENF,Netherlands
MALETIĆ Ivana,@MaleticIvana,EPP,Croatia
MALINOV Svetoslav Hristov,@SvMalinov,EPP,Bulgaria
MALTESE Curzio,@curziomaltesetw,GUE/NGL,Italy
MAMIKINS Andrejs,@AndrejsMamikins,S&D,Latvia
MĂNESCU Ramona Nicole,,EPP,Romania
